order_date,product,category,region,quantity,sales,profit,year,month,month_name,year_month
2011-01-01,"Tenex Lockers, Blue",Office Supplies,Africa,2,408.3,106.14,2011,1,Jan,2011-01-01
2011-01-01,"Acme Trimmer, High Speed",Office Supplies,Oceania,3,120.366,36.036,2011,1,Jan,2011-01-01
2011-01-01,"Tenex Box, Single Width",Office Supplies,EMEA,4,66.12,29.64,2011,1,Jan,2011-01-01
2011-01-01,"Enermax Note Cards, Premium",Office Supplies,North,3,44.865,-26.055,2011,1,Jan,2011-01-01
2011-01-01,"Eldon Light Bulb, Duo Pack",Furniture,Oceania,5,113.67,37.77,2011,1,Jan,2011-01-01
2011-01-01,"Eaton Computer Printout Paper, 8.5 x 11",Office Supplies,Oceania,2,55.242,15.342,2011,1,Jan,2011-01-01
2011-02-01,"Brother Personal Copier, Laser",Technology,Central Asia,2,285.78,71.4,2011,2,Feb,2011-02-01
2011-02-01,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,West,2,290.666,3.4196,2011,2,Feb,2011-02-01
2011-02-01,"Fellowes Lockers, Wire Frame",Office Supplies,Africa,1,206.4,92.88,2011,2,Feb,2011-02-01
2011-02-01,"Tenex Trays, Single Width",Office Supplies,North Asia,3,162.72,68.31,2011,2,Feb,2011-02-01
2011-02-01,"KitchenAid Coffee Grinder, Red",Office Supplies,North Asia,5,352.35,137.4,2011,2,Feb,2011-02-01
2011-02-01,"Hamilton Beach Refrigerator, Silver",Office Supplies,Central,2,400.704,20.024,2011,2,Feb,2011-02-01
2011-02-01,"Advantus Photo Frame, Erganomic",Furniture,EMEA,6,309.6,148.5,2011,2,Feb,2011-02-01
2011-02-01,"Binney & Smith Pencil Sharpener, Easy-Erase",Office Supplies,Central,5,139.65,15.3,2011,2,Feb,2011-02-01
2011-02-01,"Kleencut Ruler, High Speed",Office Supplies,Central Asia,3,40.68,11.79,2011,2,Feb,2011-02-01
2011-02-01,"Memorex Memory Card, USB",Technology,Central,2,81.984,-19.136,2011,2,Feb,2011-02-01
2011-02-01,"Sanford Pencil Sharpener, Water Color",Office Supplies,South,3,78.3,20.34,2011,2,Feb,2011-02-01
2011-02-01,"Wilson Jones Hole Reinforcements, Economy",Office Supplies,Central Asia,5,22.65,9.6,2011,2,Feb,2011-02-01
2011-02-01,"Smead File Folder Labels, Adjustable",Office Supplies,Central Asia,3,20.34,9.9,2011,2,Feb,2011-02-01
2011-02-01,"GlobeWeis Peel and Seal, Set of 50",Office Supplies,Central,1,21.39,0.0,2011,2,Feb,2011-02-01
2011-02-01,"Acco Hole Reinforcements, Recycled",Office Supplies,Central,3,21.06,10.53,2011,2,Feb,2011-02-01
2011-02-01,"Avery Hole Reinforcements, Durable",Office Supplies,Central,2,11.82,4.2,2011,2,Feb,2011-02-01
2011-02-01,"Wilson Jones Hole Reinforcements, Clear",Office Supplies,Central,6,9.576,-0.984,2011,2,Feb,2011-02-01
2011-03-01,"Fellowes File Cart, Industrial",Office Supplies,Canada,4,551.16,71.64,2011,3,Mar,2011-03-01
2011-03-01,"Safco Classic Bookcase, Traditional",Furniture,North,3,1314.45,341.73,2011,3,Mar,2011-03-01
2011-03-01,"Logitech Router, Erganomic",Technology,EMEA,6,1470.78,264.6,2011,3,Mar,2011-03-01
2011-03-01,"Hamilton Beach Toaster, Black",Office Supplies,Central,8,364.416,45.456,2011,3,Mar,2011-03-01
2011-03-01,Novimex Swivel Fabric Task Chair,Furniture,Central,6,634.116,-172.1172,2011,3,Mar,2011-03-01
2011-03-01,"Harbour Creations Bag Chairs, Red",Furniture,Canada,4,246.48,105.96,2011,3,Mar,2011-03-01
2011-03-01,"Office Star Rocking Chair, Red",Furniture,North,5,704.55,288.75,2011,3,Mar,2011-03-01
2011-03-01,"Fellowes Lockers, Single Width",Office Supplies,EMEA,6,1244.16,211.5,2011,3,Mar,2011-03-01
2011-03-01,"Panasonic Receipt Printer, White",Technology,Oceania,2,214.758,7.158,2011,3,Mar,2011-03-01
2011-03-01,Global Deluxe High-Back Manager's Chair,Furniture,West,2,457.568,51.4764,2011,3,Mar,2011-03-01
2011-03-01,"Sharp Fax Machine, High-Speed",Technology,EMEA,2,587.7,123.36,2011,3,Mar,2011-03-01
2011-03-01,Bevis Round Conference Room Tables and Bases,Furniture,Central,3,376.509,-43.0296,2011,3,Mar,2011-03-01
2011-03-01,"BIC Sketch Pad, Blue",Office Supplies,North,4,194.64,34.92,2011,3,Mar,2011-03-01
2011-03-01,Harbour Creations Steel Folding Chair,Furniture,Central,6,362.25,0.0,2011,3,Mar,2011-03-01
2011-03-01,"Hon Steel Folding Chair, Red",Furniture,EMEA,2,162.84,76.5,2011,3,Mar,2011-03-01
2011-03-01,"Fellowes Shelving, Single Width",Office Supplies,EMEA,2,115.74,30.06,2011,3,Mar,2011-03-01
2011-03-01,"Apple Speaker Phone, with Caller ID",Technology,Canada,4,493.2,123.24,2011,3,Mar,2011-03-01
2011-03-01,"BIC Markers, Easy-Erase",Office Supplies,Central,4,106.8,29.88,2011,3,Mar,2011-03-01
2011-03-01,"Konica Printer, White",Technology,EMEA,1,266.25,79.86,2011,3,Mar,2011-03-01
2011-03-01,"Tenex Clock, Black",Furniture,North Asia,7,351.75,59.64,2011,3,Mar,2011-03-01
2011-03-01,"Hon Swivel Stool, Red",Furniture,Southeast Asia,2,238.929,62.169,2011,3,Mar,2011-03-01
2011-03-01,"Kraft Peel and Seal, Security-Tint",Office Supplies,Southeast Asia,9,109.1853,-74.4147,2011,3,Mar,2011-03-01
2011-03-01,"Belkin Keyboard, USB",Technology,Central,2,151.362,-5.058,2011,3,Mar,2011-03-01
2011-03-01,"Cisco Signal Booster, Full Size",Technology,Oceania,1,91.872,-45.948,2011,3,Mar,2011-03-01
2011-03-01,"Safco Floating Shelf Set, Traditional",Furniture,EMEA,1,196.74,86.55,2011,3,Mar,2011-03-01
2011-03-01,"Smead Shelving, Single Width",Office Supplies,Central,3,117.504,36.684,2011,3,Mar,2011-03-01
2011-03-01,Recycled Steel Personal File for Hanging File Folders,Office Supplies,Central,3,137.352,8.5845,2011,3,Mar,2011-03-01
2011-03-01,"Stanley Canvas, Blue",Office Supplies,EMEA,2,98.94,15.78,2011,3,Mar,2011-03-01
2011-03-01,"Fellowes Folders, Blue",Office Supplies,Central,3,63.36,23.76,2011,3,Mar,2011-03-01
