region,sales,profit,margin_%,sales_share_%
Central,2822302.52,311403.98,11.03,22.32
South,1600907.04,140355.77,8.77,12.66
North,1248165.6,194597.95,15.59,9.87
Oceania,1100184.61,120089.11,10.92,8.7
Southeast Asia,884423.17,17852.33,2.02,7.0
North Asia,848309.78,165578.42,19.52,6.71
EMEA,806161.31,43897.97,5.45,6.38
Africa,783773.21,88871.63,11.34,6.2
Central Asia,752826.57,132480.19,17.6,5.95
West,725457.82,108418.45,14.94,5.74
East,678781.24,91522.78,13.48,5.37
Caribbean,324280.86,34571.32,10.66,2.57
Canada,66928.17,17817.39,26.62,0.53
