year_month,sales,profit
2011-01-01,98898.49,8321.8
2011-02-01,91152.16,12417.91
2011-03-01,145729.37,15303.57
2011-04-01,116915.76,12902.32
2011-05-01,146747.84,12183.83
2011-06-01,215207.38,23415.25
2011-07-01,115510.42,5585.0
2011-08-01,207581.49,23713.67
2011-09-01,290214.46,35776.88
2011-10-01,199071.26,25963.42
2011-11-01,298496.54,32709.18
2011-12-01,333925.73,40647.98
2012-01-01,135780.72,10401.64
2012-02-01,100510.22,15000.1
2012-03-01,163076.77,17992.92
2012-04-01,161052.27,17366.97
2012-05-01,208364.89,29876.7
2012-06-01,256175.7,34407.15
2012-07-01,145236.79,15585.39
2012-08-01,303142.94,43573.88
2012-09-01,289389.17,27776.18
2012-10-01,252939.85,30662.88
2012-11-01,323512.42,31820.72
2012-12-01,338256.97,32950.75
2013-01-01,199185.91,26810.56
2013-02-01,167239.65,23762.5
2013-03-01,198594.03,23433.77
2013-04-01,177821.32,19462.04
2013-05-01,260498.56,28495.69
2013-06-01,396519.61,45478.41
2013-07-01,229928.95,28863.83
2013-08-01,326488.79,31023.67
2013-09-01,376619.25,38905.67
2013-10-01,293406.64,42433.22
2013-11-01,373989.36,48063.0
2013-12-01,405454.38,50202.87
2014-01-01,241268.56,28001.39
2014-02-01,184837.36,19751.7
2014-03-01,263100.77,37357.26
2014-04-01,242771.86,23782.3
2014-05-01,288401.05,33953.56
2014-06-01,401814.06,43778.6
2014-07-01,258705.68,28035.87
2014-08-01,456619.94,53542.89
2014-09-01,481157.24,67979.45
2014-10-01,422766.63,58209.83
2014-11-01,555279.03,62856.59
2014-12-01,503143.69,46916.52
