product,sales
"Apple Smart Phone, Full Size",86935.7786
"Cisco Smart Phone, Full Size",76441.5306
"Motorola Smart Phone, Full Size",73156.303
"Nokia Smart Phone, Full Size",71904.5555
Canon imageCLASS 2200 Advanced Copier,61599.824
"Hon Executive Leather Armchair, Adjustable",58193.4841
"Office Star Executive Leather Armchair, Adjustable",50661.684
"Harbour Creations Executive Leather Armchair, Adjustable",50121.516
"Samsung Smart Phone, Cordless",48653.46
"Nokia Smart Phone, with Caller ID",47877.7857
"Samsung Smart Phone, VoIP",45406.328
"Cisco Smart Phone, with Caller ID",43127.5008
"SAFCO Executive Leather Armchair, Black",41923.53
"Cisco Smart Phone, Cordless",41021.524
"Novimex Executive Leather Armchair, Adjustable",40585.1336
"Sauder Classic Bookcase, Traditional",39108.303
"Motorola Smart Phone, Cordless",38931.042
"Novimex Executive Leather Armchair, Red",38814.801999999996
"Eldon File Cart, Single Width",34387.7287
"Hoover Stove, White",32842.6043
