product,units_sold
Staples,876
"Cardinal Index Tab, Clear",337
"Eldon File Cart, Single Width",321
"Rogers File Cart, Single Width",262
"Sanford Pencil Sharpener, Water Color",259
"Stockwell Paper Clips, Assorted Sizes",253
"Avery Index Tab, Clear",252
"Ibico Index Tab, Clear",251
"Smead File Cart, Single Width",250
"Stanley Pencil Sharpener, Water Color",242
"Acco Index Tab, Clear",228
"Boston Pencil Sharpener, Water Color",217
"Tenex File Cart, Single Width",207
"Binney & Smith Pencil Sharpener, Water Color",207
"Sanford Pencil Sharpener, Easy-Erase",193
"Smead Lockers, Industrial",187
"Binney & Smith Sketch Pad, Blue",185
"Wilson Jones Binder Covers, Recycled",179
"Sanford Markers, Water Color",179
"Acco Binder Covers, Recycled",176
